year,state,cases,population,mask_mandate
2020,AK,50447,732441,TRUE
2020,AL,424028,5024803,FALSE
2020,AR,272263,3012232,FALSE
2020,AZ,679282,7177986,TRUE
2020,CA,2973174,39499738,TRUE
2020,CO,376171,5784308,TRUE
2020,CT,230125,3600260,TRUE
2020,DE,70910,991886,TRUE
2020,FL,1550444,21569932,FALSE
2020,GA,820952,10725800,FALSE
2020,HI,23840,1451911,TRUE
2020,IA,305622,3188669,FALSE
2020,ID,155554,1847772,FALSE
2020,IL,1072214,12785245,FALSE
2020,IN,592709,6785644,TRUE
2020,KS,259822,2935880,TRUE
2020,KY,328668,4503958,TRUE
2020,LA,369951,4651203,TRUE
2020,MA,461431,7022220,TRUE
2020,MD,330186,6172679,TRUE
2020,ME,34261,1362280,TRUE
2020,MI,585128,10067664,TRUE
2020,MN,447349,5707165,FALSE
2020,MO,438840,6154481,FALSE
2020,MS,255125,2956870,FALSE
2020,MT,89576,1086193,TRUE
2020,NC,674637,10457177,TRUE
2020,ND,96071,778962,TRUE
2020,NE,182418,1961455,TRUE
2020,NH,57864,1377848,FALSE
2020,NJ,631074,9279743,FALSE
2020,NM,164263,2117566,TRUE
2020,NV,262794,3114071,FALSE
2020,NY,1263377,20154933,TRUE
2020,OH,831066,11790587,FALSE
2020,OK,363059,3962031,FALSE
2020,OR,133851,4241544,TRUE
2020,PA,771845,12989625,TRUE
2020,RI,104443,1096229,TRUE
2020,SC,391464,5130729,FALSE
2020,SD,105659,887099,FALSE
2020,TN,687751,6920119,FALSE
2020,TX,2125552,29217653,TRUE
2020,UT,324919,3281684,FALSE
2020,VA,451076,8632044,FALSE
2020,VT,10220,642495,TRUE
2020,WA,289939,7718785,TRUE
2020,WI,569335,5892323,TRUE
2020,WV,109809,1789798,FALSE
2020,WY,49708,577267,FALSE